T h Pr u vr s0
360 85.97 0.3363 61.29 396.6 0.50369
380 90.75 0.4061 64.70 346.6 0.51663
400 95.53 0.4858 68.11 305.0 0.52890
420 100.32 0.5760 71.52 270.1 0.54058
440 105.11 0.6776 74.93 240.6 0.55172
460 109.90 0.7913 78.36 215.33 0.56235
480 114.69 0.9182 81.77 193.65 0.57255
500 119.48 1.0590 85.20 174.90 0.58233
520 124.27 1.2147 88.62 158.58 0.59173
537 128.10 1.3593 91.53 146.34 0.59945
540 129.06 1.3860 92.04 144.32 0.60078
560 133.86 1.5742 95.47 131.78 0.60950
580 138.66 1.7800 98.90 120.70 0.61793
600 143.47 2.005 102.34 110.88 0.62607
620 148.28 2.249 105.78 102.12 0.63395
640 153.09 2.514 109.21 94.30 0.64159
660 157.92 2.801 112.67 87.27 0.64902
680 162.73 3.111 116.12 80.96 0.65621
700 167.56 3.446 119.58 75.25 0.66321
720 172.39 3.806 123.04 70.07 0.67002
740 177.23 4.193 126.51 65.38 0.67665
760 182.08 4.607 129.99 61.10 0.68312
780 186.94 5.051 133.47 57.20 0.68942
800 191.81 5.526 136.97 53.63 0.69558
820 196.69 6.033 140.47 50.35 0.70160
840 201.56 6.573 143.98 47.34 0.70747
860 206.46 7.149 147.50 44.57 0.71323
880 211.35 7.761 151.02 42.01 0.71886
900 216.26 8.411 154.57 39.64 0.72438
920 221.18 9.102 158.12 37.44 0.72979
940 226.11 9.834 161.68 35.41 0.73509
960 231.06 10.61 165.26 33.52 0.74030
980 236.02 11.43 168.83 31.76 0.74540
1000 240.98 12.30 172.43 30.12 0.75042
1040 250.95 14.18 179.66 27.17 0.76019
1080 260.97 16.28 186.93 24.58 0.76964
1120 271.03 18.60 194.25 22.30 0.77880
1160 281.14 21.18 201.63 20.29 0.78767
1200 291.30 24.01 209.05 18.51 0.79628
1240 301.52 27.13 216.53 16.93 0.80466
1280 311.79 30.55 224.05 15.52 0.81280
1320 322.11 34.31 231.63 14.25 0.82075
1360 332.48 38.41 239.25 13.12 0.82848
1400 342.90 42.88 246.93 12.10 0.83604
1440 353.37 47.75 254.66 11.17 0.84341
1480 363.89 53.04 262.44 10.34 0.85062
1520 374.47 58.78 270.26 9.578 0.85767
1560 385.08 65.00 278.13 8.890 0.86456
1600 395.74 71.13 286.06 8.263 0.87130
1650 409.13 80.89 296.03 7.556 0.87954
1700 422.59 90.95 306.06 6.924 0.88758
1750 436.12 101.98 316.16 6.357 0.89542
1800 449.71 114.0 326.32 5.847 0.90308
1850 463.37 127.2 336.55 5.388 0.91056
1900 477.09 141.5 346.85 4.974 0.91788
1950 490.88 157.1 357.20 4.598 0.92504
2000 504.71 174.0 367.61 4.258 0.93205
2050 518.71 192.3 378.08 3.949 0.93891
2100 532.55 212.1 388.60 3.667 0.94564
2150 546.54 223.5 399.17 3.410 0.95222
2200 560.59 256.6 409.78 3.176 0.95919
2250 574.69 281.4 420.46 2.961 0.96501
2300 588.82 308.1 431.16 2.765 0.97123
2350 603.00 336.8 441.91 2.585 0.97732
2400 617.22 367.6 452.70 2.419 0.98331
2450 631.48 400.5 463.54 2.266 0.98919
2500 645.78 435.7 474.40 2.125 0.99497
2550 660.12 473.3 485.31 1.996 1.00064
2600 674.49 513.5 496.26 1.876 1.00623
2650 688.90 556.3 507.25 1.765 1.01172
2700 703.35 601.9 518.26 1.662 1.01712
2750 717.83 650.4 529.31 1.566 1.02244
2800 732.33 702.0 540.40 1.478 1.02767
2850 746.88 756.7 551.52 1.395 1.03282
2900 761.45 814.8 562.66 1.318 1.03788
2950 776.05 876.4 573.84 1.247 1.04288
3000 790.68 941.4 585.04 1.180 1.04779
3050 805.34 1011 596.28 1.118 1.05264
3100 820.03 1083 607.53 1.060 1.05741
3150 834.75 1161 618.82 1.006 1.06212
3200 849.48 1242 630.12 0.955 1.06676
3250 864.24 1328 641.46 0.907 1.07134
3300 879.02 1418 652.81 0.8621 1.07585
3350 893.83 1513 664.20 0.8202 1.08031
3400 908.66 1613 675.60 0.7807 1.08470
3450 923.52 1719 687.04 0.7436 1.08904
3500 938.40 1829 698.48 0.7087 1.09332
3550 953.30 1946 709.95 0.6759 1.09755
3600 968.21 2068 721.44 0.6449 1.10172
3650 983.15 2196 732.95 0.6157 1.10584
3700 998.11 2330 744.48 0.5882 1.10991
3750 1013.1 2471 756.04 0.5621 1.11393
3800 1028.1 2618 767.60 0.5376 1.11791
3850 1043.1 2773 779.19 0.5143 1.12183
3900 1058.1 2934 790.80 0.4923 1.12571
3950 1073.2 3103 802.43 0.4715 1.12955
4000 1088.3 3280 814.06 0.4518 1.13334
4050 1103.4 3464 825.72 0.4331 1.13709
4100 1118.5 3656 837.40 0.4154 1.14079
4150 1133.6 3858 849.09 0.3985 1.14446
4200 1148.7 4067 860.81 0.3826 1.14809
4300 1179.0 4513 884.28 0.3529 1.15522
4400 1209.4 4997 907.81 0.3262 1.16221
4500 1239.9 5521 931.39 0.3019 1.16905
4600 1270.4 6089 955.04 0.2799 1.17575
4700 1300.9 6701 978.73 0.2598 1.18232
4800 1331.5 7362 1002.5 0.2415 1.18876
4900 1362.2 8073 1026.3 0.2248 1.19508
5000 1392.9 8837 1050.1 0.2096 1.20129
5100 1423.6 9658 1074.0 0.1956 1.20738
5200 1454.4 10,539 1098.0 0.1828 1.21336
5300 1485.3 11,481 1122.0 0.1710 1.2192
